20000	3.2e-05
40000	6.1e-05
60000	9.7e-05
80000	0.000127
100000	0.000156
120000	0.00019
140000	0.000214
160000	0.000257
180000	0.000225
200000	0.000293
220000	0.000275
240000	0.0003
260000	0.000417
280000	0.000441
300000	0.000422
320000	0.000511
340000	0.000432
360000	0.000584
380000	0.000497
400000	0.0005
420000	0.000525
440000	0.00065
460000	0.000718
480000	0.000619
500000	0.000697
520000	0.000677
540000	0.00073
560000	0.000705
580000	0.000885
600000	0.000775
620000	0.000968
640000	0.0008
660000	0.000875
680000	0.000859
700000	0.00097
720000	0.001063
740000	0.000947
760000	0.001123
780000	0.001049
800000	0.001122
820000	0.001129
840000	0.00127
860000	0.001272
880000	0.001635
900000	0.001766
920000	0.001481
940000	0.001378
960000	0.001388
980000	0.001269
1000000	0.001569
1020000	0.00162
1040000	0.001637
1060000	0.001689
1080000	0.001445
1100000	0.001734
1120000	0.001599
1140000	0.001616
1160000	0.001595
1180000	0.001691
1200000	0.001621
1220000	0.001765
1240000	0.00171
1260000	0.002002
1280000	0.002135
1300000	0.001929
1320000	0.001999
1340000	0.001791
1360000	0.002115
1380000	0.002679
1400000	0.002223
1420000	0.003223
1440000	0.002278
1460000	0.002222
1480000	0.002191
1500000	0.002469
1520000	0.003319
1540000	0.002392
1560000	0.002229
1580000	0.002377
1600000	0.002051
1620000	0.002492
1640000	0.002211
1660000	0.00236
1680000	0.00261
1700000	0.002306
1720000	0.002483
1740000	0.002444
1760000	0.002685
1780000	0.002428
1800000	0.002423
1820000	0.002548
1840000	0.002422
1860000	0.002655
1880000	0.002545
1900000	0.002755
1920000	0.002609
1940000	0.002636
1960000	0.002688
1980000	0.002793
2000000	0.003354
2020000	0.003234
2040000	0.003178
2060000	0.003041
2080000	0.003266
2100000	0.003044
2120000	0.003183
2140000	0.002813
2160000	0.002792
2180000	0.002985
2200000	0.003014
2220000	0.002979
2240000	0.003132
2260000	0.003352
2280000	0.003223
2300000	0.003415
2320000	0.003639
2340000	0.003173
2360000	0.003529
2380000	0.003668
2400000	0.003367
2420000	0.003361
2440000	0.003657
2460000	0.00335
2480000	0.003232
2500000	0.003746
2520000	0.003689
2540000	0.003671
2560000	0.003647
2580000	0.003763
2600000	0.00342
2620000	0.003881
2640000	0.003799
2660000	0.003906
2680000	0.004086
2700000	0.003902
2720000	0.003805
2740000	0.003736
2760000	0.004211
2780000	0.00368
2800000	0.003555
2820000	0.004073
2840000	0.003573
2860000	0.003991
2880000	0.003926
2900000	0.003765
2920000	0.004071
2940000	0.004327
2960000	0.005073
2980000	0.004442
3000000	0.005063
3020000	0.00464
3040000	0.003979
3060000	0.004191
3080000	0.004585
3100000	0.004131
3120000	0.004496
3140000	0.004397
3160000	0.004275
3180000	0.004268
3200000	0.004201
3220000	0.004512
3240000	0.004425
3260000	0.004138
3280000	0.004529
3300000	0.004197
3320000	0.004615
3340000	0.004619
3360000	0.004537
3380000	0.004551
3400000	0.00465
3420000	0.004816
3440000	0.004626
3460000	0.005069
3480000	0.004811
3500000	0.005108
3520000	0.004743
3540000	0.004964
3560000	0.004761
3580000	0.004903
3600000	0.004832
3620000	0.004924
3640000	0.004835
3660000	0.005082
3680000	0.004867
3700000	0.004946
3720000	0.005795
3740000	0.005438
3760000	0.005317
3780000	0.005914
3800000	0.005051
3820000	0.005028
3840000	0.004898
3860000	0.00516
3880000	0.005284
3900000	0.005454
3920000	0.005742
3940000	0.005964
3960000	0.006073
3980000	0.006241
4000000	0.005677
4020000	0.005987
4040000	0.005428
4060000	0.005621
4080000	0.005671
4100000	0.006477
4120000	0.007132
4140000	0.00584
4160000	0.005629
4180000	0.006073
4200000	0.005867
4220000	0.006295
4240000	0.005749
4260000	0.00577
4280000	0.006621
4300000	0.006931
4320000	0.006319
4340000	0.006519
4360000	0.006269
4380000	0.006571
4400000	0.006269
4420000	0.006427
4440000	0.006555
4460000	0.007297
4480000	0.007025
4500000	0.006799
4520000	0.006892
4540000	0.006787
4560000	0.006198
4580000	0.006447
4600000	0.006979
4620000	0.006764
4640000	0.007305
4660000	0.006502
4680000	0.006617
4700000	0.006502
4720000	0.006539
4740000	0.006476
4760000	0.006319
4780000	0.006149
4800000	0.006775
4820000	0.0062
4840000	0.00626
4860000	0.006412
4880000	0.007085
4900000	0.007458
4920000	0.006786
4940000	0.006916
4960000	0.006674
4980000	0.006847
5000000	0.007123
5020000	0.007017
5040000	0.006748
5060000	0.006628
5080000	0.007184
5100000	0.007212
5120000	0.006808
5140000	0.007006
5160000	0.007958
5180000	0.007419
5200000	0.007269
5220000	0.00711
5240000	0.007713
5260000	0.007662
5280000	0.007711
5300000	0.007698
5320000	0.008117
5340000	0.007453
5360000	0.007611
5380000	0.007281
5400000	0.007444
5420000	0.0076
5440000	0.007089
5460000	0.007936
5480000	0.008013
5500000	0.007785
5520000	0.007834
5540000	0.00797
5560000	0.007494
5580000	0.00747
5600000	0.007936
5620000	0.007954
5640000	0.008616
5660000	0.007364
5680000	0.007781
5700000	0.008156
5720000	0.008834
5740000	0.008215
5760000	0.007978
5780000	0.007818
5800000	0.007953
5820000	0.008027
5840000	0.007881
5860000	0.007821
5880000	0.008104
5900000	0.008043
5920000	0.008515
5940000	0.008648
5960000	0.008146
5980000	0.007796
6000000	0.008359
6020000	0.00804
6040000	0.008615
6060000	0.007839
6080000	0.008671
6100000	0.008206
6120000	0.007949
6140000	0.008293
6160000	0.008319
6180000	0.008383
6200000	0.008691
6220000	0.008752
6240000	0.009348
6260000	0.008877
6280000	0.009269
6300000	0.009057
6320000	0.008751
6340000	0.009207
6360000	0.009229
6380000	0.008498
6400000	0.008837
6420000	0.009418
6440000	0.008625
6460000	0.009746
6480000	0.009252
6500000	0.009481
6520000	0.009043
6540000	0.008528
6560000	0.009317
6580000	0.01027
6600000	0.009752
6620000	0.009975
6640000	0.009126
6660000	0.009355
6680000	0.009672
6700000	0.009422
6720000	0.00888
6740000	0.009687
6760000	0.009341
6780000	0.009178
6800000	0.008951
6820000	0.009302
6840000	0.009731
6860000	0.009336
6880000	0.009796
6900000	0.009898
6920000	0.009257
6940000	0.00958
6960000	0.010208
6980000	0.009611
7000000	0.009844
7020000	0.009736
7040000	0.009763
7060000	0.009744
7080000	0.010731
7100000	0.010486
7120000	0.01069
7140000	0.01066
7160000	0.010779
7180000	0.010278
7200000	0.009796
7220000	0.010438
7240000	0.010988
7260000	0.010229
7280000	0.010756
7300000	0.011397
7320000	0.010427
7340000	0.009737
7360000	0.010283
7380000	0.010019
7400000	0.010254
7420000	0.010662
7440000	0.011359
7460000	0.010838
7480000	0.010291
7500000	0.010305
7520000	0.009838
7540000	0.01018
7560000	0.010271
7580000	0.010249
7600000	0.010832
7620000	0.01037
7640000	0.01061
7660000	0.010928
7680000	0.011456
7700000	0.011011
7720000	0.012291
7740000	0.012978
7760000	0.011552
7780000	0.010771
7800000	0.010913
7820000	0.011005
7840000	0.010578
7860000	0.011625
7880000	0.011526
7900000	0.012243
7920000	0.011085
7940000	0.011549
7960000	0.011763
7980000	0.011226
8000000	0.011296
